mean;std;skew;kurt;RMS;crest;freq_peak;shan;perm;temp;tohn/hour
0.02477283;0.911247825;-0.065353974;-1.410901482;0.911575385;1.040794114;164.0032801;10.22582799;1.126831493;23.12;3.01
0.013454254;0.89807871;-0.035541143;-1.373865077;0.898170505;1.051214604;476.0095202;10.32453821;1.132127561;23.12;3.01
0.013454254;0.89807871;-0.035541143;-1.373865077;0.898170505;1.051214604;476.0095202;10.32453821;1.132127561;23.12;3.01
0.032777091;0.923138601;-0.062966598;-1.443357734;0.923711086;1.057520698;476.0095202;10.06388511;1.119337829;23.13;3.01
0.032777091;0.923138601;-0.062966598;-1.443357734;0.923711086;1.057520698;476.0095202;10.06388511;1.119337829;23.13;3.01
0.024064662;0.909423425;-0.051434397;-1.407278086;0.909732671;1.037096443;474.0094802;10.23470868;1.113322492;23.13;3.01
0.024064662;0.909423425;-0.051434397;-1.407278086;0.909732671;1.037096443;474.0094802;10.23470868;1.113322492;23.13;3.01
0.02667853;0.903307264;-0.040965706;-1.39010282;0.903692114;1.039108075;476.0095202;10.32811663;1.132687763;23.13;3.05
0.02667853;0.903307264;-0.040965706;-1.39010282;0.903692114;1.039108075;476.0095202;10.32811663;1.132687763;23.13;3.05
0.022767892;0.916182938;-0.045621979;-1.428652416;0.916456636;1.039593281;158.0031601;10.17636797;1.123774299;23.13;3.05
0.022767892;0.916182938;-0.045621979;-1.428652416;0.916456636;1.039593281;158.0031601;10.17636797;1.123774299;23.13;3.05
0.043919701;0.910659178;-0.09233618;-1.409413764;0.911708557;1.053056769;476.0095202;10.23522024;1.123388033;23.14;3.1
0.043919701;0.910659178;-0.09233618;-1.409413764;0.911708557;1.053056769;476.0095202;10.23522024;1.123388033;23.14;3.1
0.036582789;0.916530137;-0.078181789;-1.420213422;0.917250779;1.035831274;474.0094802;10.12520394;1.118109462;23.14;3.1
0.036582789;0.916530137;-0.078181789;-1.420213422;0.917250779;1.035831274;474.0094802;10.12520394;1.118109462;23.14;3.1
0.038327358;0.935390378;-0.077108872;-1.455717485;0.936165928;1.038325415;166.0033201;9.755321813;1.096562524;23.14;3.1
0.038327358;0.935390378;-0.077108872;-1.455717485;0.936165928;1.038325415;166.0033201;9.755321813;1.096562524;23.14;3.1
